Opportunity,Description,Type,Close Date,Status,Link,Eligible Countries,For Female Founders,Sectors of Interest
VivaTech Africa,"Winners receive funding, mentorship, and the opportunity to pitch at VivaTech 2025 in Paris.",Competition,"March 2, 2025",Closed,https://vivatechnology.com/challenges/africatech-awards-2025AnyHealthcareFinTechClimateAgricTech,Any,False,"Healthcare, FinTech, Climate, AgricTech"
Start Smart,"Start Smart 2025designed to empower your kind of woman with free legal advice, business registration sponsorships, and start-up resources for growth.",Program,"March 5, 2025",Closed,https://docs.google.com/forms/d/1EO81Q5016rwkQjRnkjLbJcpSFG5cZtPVU5sliEac34Q/closedformAgnostic,,True,Agnostic
"https://www.linkedin.com/feed/# Climate Resilience Prize 2025A CHF 100,000 non-dilutive","Climate Resilience 2025A CHF 100,000 non-dilutive cash prize for startups driving climate resilience in food & agriculture, with access to https://www.",Competition,"March 5, 2025",Closed,https://www.linkedin.com/feed/#,Any,False,"Climate, AgricTech"
Swedish Institute,"Swedish Institute She Entrepreneurs 2025A six-month leadership program for women entrepreneurs in Algeria, Egypt, Morocco, Tunisia building sustainable climate solutions.",Program,"March 6, 2025",Closed,https://si.se/en/apply/si-leadership-programmes/she-entrepreneurs/EgyptAlgeriaTunisiaMoroccoAgnostic,"Algeria, Egypt, Morocco, Tunisia",True,Agnostic
"https://www.linkedin.com/company/p4g-partnerships/ GrantsFocusing on climate-smart agriculture, food loss and",,Grant,"March 7, 2025",Closed,https://www.linkedin.com/company/p4g-partnerships/,"Ethiopia, Kenya, South Africa",False,"Climate, AgricTech, Energy, Mobility"
The Forge,"The Forge A 12-month fellowship supporting African founders building high-impact, scalable tech startups.",Accelerator,"March 7, 2025",Closed,https://www.the-nextseed.com/fr/challenges/the-forge-2025?lang=enAnyAgnostic,Any,False,Agnostic
SIA Foundation,"SIA Foundation Startup FoundryA program providing $10,000 in seed funding, mentorship, and access to business support tools for African startups.",Program,"March 7, 2025",Closed,https://siafdn.org/startup-foundry/AnyHealthcareEducationAgricTechEnergyRecycling,Any,False,"Healthcare, Education, AgricTech, Energy, Recycling"
https://www.linkedin.com/feed/# Founders FellowshipA 90-day incubator designed to help,"Founders A 90-day incubator designed to help first-time founders turn ideas into viable tech startups, with expert guidance and a supportive community.",Incubator,"March 7, 2025",Closed,https://www.linkedin.com/feed/#,Any,False,Agnostic
Trailblazer,A startup growth program for early-stage fashion supply chain innovators.,Program,"March 7, 2025",Closed,https://www.linkedin.com/feed/#,Any,False,"Fashion, Orange Economy"
AWN Investment,AWN Investment Readiness for Women-led BusinessesThis programme is designed for women-led businesses seeking support to achieve growth and scalability.,Program,"March 9, 2025",Closed,https://docs.google.com/forms/d/e/1FAIpQLSfNfD14GAOEQ9gSQZiHuF06vFtcTQo7xbR6HKXR9JwlAQgSpw/viewformNigeriaAgnostic,"Niger, Nigeria",True,"Agnostic, AI"
